Source,Target,Type,Kind,Id,Label,timeset,Weight
@adnan51511,1267884120551706624,Directed,Tweets,1288,,<[2020-06-02T18:21:51.304Z]>,1
1267884120551706624,@faster__goal,Directed,Has_mention,1289,,<[2020-06-02T18:21:51.304Z]>,1
@wrestlingrm,1267884120790581249,Directed,Tweets,1290,,<[2020-06-02T18:21:51.305Z]>,1
@rmathletics,1263529564720037894,Directed,Tweets,1291,,<[2020-06-02T18:21:51.305Z]>,1
1263529564720037894,@redmtnfootball,Directed,Has_mention,1292,,<[2020-06-02T18:21:51.305Z]>,1
1263529564720037894,http://pbs.twimg.com/media/EYj1cOBXYAE80WB.jpg,Directed,Has_media,1293,,<[2020-06-02T18:21:51.305Z]>,1
@wrestlingrm,@rmathletics,Directed,Retweets_from,1294,,<[2020-06-02T18:21:51.305Z]>,1
@wrestlingrm,1263529564720037894,Directed,Retweets,1295,,<[2020-06-02T18:21:51.305Z]>,1
@florencecanel_n,1267884121478631425,Directed,Tweets,1296,,<[2020-06-02T18:21:51.306Z]>,1
1267884121478631425,https://www.bfmtv.com/planete/en-2019-la-foret-tropicale-a-perdu-l-equivalent-d-un-terrain-de-football-toutes-les-six-secondes-1925666.html?utm_medium=social&utm_source=twitter,Directed,Has_link,1297,,<[2020-06-02T18:21:51.306Z]>,1
@zehub,1267883502286012421,Directed,Tweets,1298,,<[2020-06-02T18:21:51.306Z]>,1
1267883502286012421,https://www.bfmtv.com/planete/en-2019-la-foret-tropicale-a-perdu-l-equivalent-d-un-terrain-de-football-toutes-les-six-secondes-1925666.html?utm_medium=social&utm_source=twitter,Directed,Has_link,1299,,<[2020-06-02T18:21:51.306Z]>,1
@florencecanel_n,@zehub,Directed,Retweets_from,1300,,<[2020-06-02T18:21:51.306Z]>,1
@florencecanel_n,1267883502286012421,Directed,Retweets,1301,,<[2020-06-02T18:21:51.306Z]>,1
@clarencegari,1267884122204143616,Directed,Tweets,1302,,<[2020-06-02T18:21:51.306Z]>,1
1267884122204143616,http://pbs.twimg.com/media/EZf7-nXWsAAa6nL.jpg,Directed,Has_media,1303,,<[2020-06-02T18:21:51.306Z]>,1
@patricktimmons1,1267758880450322438,Directed,Tweets,1304,,"<[2020-06-02T18:21:51.306Z, 2020-06-02T18:22:25.897Z]>",1
1267758880450322438,http://pbs.twimg.com/media/EZf7-nXWsAAa6nL.jpg,Directed,Has_media,1305,,"<[2020-06-02T18:21:51.306Z, 2020-06-02T18:22:25.897Z]>",1
@clarencegari,@patricktimmons1,Directed,Retweets_from,1306,,<[2020-06-02T18:21:51.306Z]>,1
@clarencegari,1267758880450322438,Directed,Retweets,1307,,<[2020-06-02T18:21:51.306Z]>,1
@paulcdonnelly1,1267884122715951104,Directed,Tweets,1308,,<[2020-06-02T18:21:52.308Z]>,1
1267884122715951104,https://www.irishmirror.ie/sport/gaa/gaelic-football/gaelic-football-news/tyrone-cult-hero-john-lynch-22116951,Directed,Has_link,1309,,<[2020-06-02T18:21:52.308Z]>,1
@mirrorsportie,1267380368128294915,Directed,Tweets,1310,,<[2020-06-02T18:21:52.308Z]>,1
1267380368128294915,@tyronegaalive,Directed,Has_mention,1311,,<[2020-06-02T18:21:52.308Z]>,1
1267380368128294915,https://www.irishmirror.ie/sport/gaa/gaelic-football/gaelic-football-news/tyrone-cult-hero-john-lynch-22116951,Directed,Has_link,1312,,<[2020-06-02T18:21:52.308Z]>,1
@paulcdonnelly1,@mirrorsportie,Directed,Retweets_from,1313,,<[2020-06-02T18:21:52.308Z]>,1
@paulcdonnelly1,1267380368128294915,Directed,Retweets,1314,,<[2020-06-02T18:21:52.308Z]>,1
@skwaya4higher,1267884123265339394,Directed,Tweets,1315,,<[2020-06-02T18:21:52.309Z]>,1
1267884123265339394,http://pbs.twimg.com/ext_tw_video_thumb/1222353015283253253/pu/img/3w0VCnQ2X3DAXN02.jpg,Directed,Has_media,1316,,<[2020-06-02T18:21:52.309Z]>,1
@official_btbza,1267829443113844737,Directed,Tweets,1317,,<[2020-06-02T18:21:52.309Z]>,1
1267829443113844737,http://pbs.twimg.com/ext_tw_video_thumb/1222353015283253253/pu/img/3w0VCnQ2X3DAXN02.jpg,Directed,Has_media,1318,,<[2020-06-02T18:21:52.309Z]>,1
@skwaya4higher,@official_btbza,Directed,Retweets_from,1319,,<[2020-06-02T18:21:52.309Z]>,1
@skwaya4higher,1267829443113844737,Directed,Retweets,1320,,<[2020-06-02T18:21:52.309Z]>,1
@obscurestar,1267884128399060992,Directed,Tweets,1321,,<[2020-06-02T18:21:52.310Z]>,1
1267884128399060992,@al3xand3r_ca,Directed,Has_mention,1322,,<[2020-06-02T18:21:52.310Z]>,1
1267884128399060992,@bubbaprog,Directed,Has_mention,1323,,<[2020-06-02T18:21:52.310Z]>,1
1267884128399060992,@aliamjadrizvi,Directed,Has_mention,1324,,<[2020-06-02T18:21:52.310Z]>,1
@lmarespin23,1267884129670123520,Directed,Tweets,1325,,<[2020-06-02T18:21:52.565Z]>,1
@lmarespin23,@varskysports,Directed,Retweets_from,1326,,<[2020-06-02T18:21:52.565Z]>,1
@lmarespin23,1267868628138983429,Directed,Retweets,1327,,<[2020-06-02T18:21:52.565Z]>,1
@lmarespin23,@varskysports,Directed,Quotes_from,1328,,<[2020-06-02T18:21:52.565Z]>,1
@lmarespin23,1267867355692126208,Directed,Quotes,1329,,<[2020-06-02T18:21:52.565Z]>,1
@rotelanico,1267884132740325376,Directed,Tweets,1330,,<[2020-06-02T18:21:53.321Z]>,1
